id,lbls,TOPIC_0,TOPIC_2,TOPIC_4,TOPIC_5,TOPIC_7,TOPIC_9,TOPIC_11,TOPIC_12,TOPICO
0,604,0.01,0,0.98,0,0.01,0,0,0,Topic_4
1,602,0,0.08,0,0.01,0,0,0,0.92,Topic_12
2,600,0,0.04,0.68,0,0,0,0.23,0.04,Topic_4
3,601,0,0,0,0,0,0,1,0,Topic_11
4,110,0.18,0.73,0.02,0,0,0,0.06,0,Topic_2
5,109,0,0,0.1,0,0.15,0,0.61,0.13,Topic_11
6,603,0.01,0,0.43,0,0.55,0,0,0,Topic_7
7,157,0.5,0.01,0,0,0.19,0,0.3,0,Topic_0
8,3,0,0.02,0.02,0,0,0,0.36,0.61,Topic_12
9,6,0.81,0.09,0.01,0,0.03,0,0.07,0,Topic_0
10,605,0.02,0.01,0.48,0.04,0.01,0,0.08,0.35,Topic_4
11,42,1,0,0,0,0,0,0,0,Topic_0
12,2,0.32,0.18,0.09,0,0.15,0,0.26,0,Topic_0
13,46,0.83,0.09,0.01,0,0.06,0,0.01,0,Topic_0
14,204,1,0,0,0,0,0,0,0,Topic_0
15,71,1,0,0,0,0,0,0,0,Topic_0
16,28,0.34,0.22,0.08,0.01,0,0,0.02,0.32,Topic_0
17,34,0.7,0.2,0,0,0.04,0,0.06,0,Topic_0
18,67,1,0,0,0,0,0,0,0,Topic_0
19,20,0.22,0.68,0,0.01,0.08,0,0,0.01,Topic_2
20,56,0,0.08,0,0,0,0,0.25,0.67,Topic_12
21,12,0.84,0,0.01,0,0,0,0.03,0.11,Topic_0
22,21,1,0,0,0,0,0,0,0,Topic_0
23,96,0.59,0,0.18,0,0.05,0,0.18,0,Topic_0
24,5,0.33,0.07,0.12,0.33,0.03,0,0.08,0.04,Topic_0
25,35,0.3,0.33,0,0.12,0.04,0,0.11,0.11,Topic_2
26,102,0,0.11,0,0,0,0,0.89,0,Topic_11
27,77,0.38,0,0,0.62,0,0,0,0,Topic_5
28,16,0.04,0.47,0.19,0,0.06,0,0.24,0,Topic_2
29,41,0.27,0.63,0,0,0.1,0,0,0,Topic_2
30,74,0.78,0,0,0.19,0,0,0,0.02,Topic_0
31,1,0.16,0.21,0.21,0.2,0.03,0,0.16,0.03,Topic_2
32,31,0.86,0.08,0,0,0.02,0,0.04,0,Topic_0
33,147,0.98,0,0.01,0,0,0,0,0,Topic_0
34,94,0.39,0.61,0,0,0,0,0,0,Topic_2
35,185,0.05,0.33,0,0,0,0,0.62,0,Topic_11
36,38,0.43,0.45,0,0,0.02,0,0,0.1,Topic_2
37,45,0.05,0.61,0,0,0.03,0,0.31,0,Topic_2
38,37,0.57,0.03,0.27,0,0.03,0,0.11,0,Topic_0
39,165,0.73,0,0,0,0.1,0,0.17,0,Topic_0
40,76,1,0,0,0,0,0,0,0,Topic_0
41,87,1,0,0,0,0,0,0,0,Topic_0
42,95,0,0.98,0,0,0,0,0,0.02,Topic_2
43,50,1,0,0,0,0,0,0,0,Topic_0
44,80,0.08,0.36,0.03,0,0,0,0.49,0,Topic_11
45,63,0.29,0.26,0,0.12,0,0,0.12,0.22,Topic_0
46,97,0.33,0,0.23,0,0.39,0,0.05,0,Topic_7
47,115,0.08,0,0,0,0,0,0.19,0.7,Topic_12
48,48,0.52,0,0.28,0,0.14,0,0.06,0,Topic_0
49,64,0.03,0.79,0,0,0,0,0,0.18,Topic_2
50,61,0,0.73,0,0.01,0,0,0,0.26,Topic_2
51,146,0,0.58,0.16,0,0,0,0.03,0.23,Topic_2
52,33,0.3,0.5,0,0.03,0,0,0,0.18,Topic_2
53,4,0.03,0.96,0,0,0,0,0,0.01,Topic_2
54,128,0.45,0.17,0,0,0,0,0.36,0.02,Topic_0
55,151,0.62,0,0.19,0,0.07,0,0.12,0,Topic_0
56,137,1,0,0,0,0,0,0,0,Topic_0
57,104,0.76,0,0.12,0,0.11,0,0.01,0,Topic_0
58,118,0.93,0,0,0,0,0,0.06,0,Topic_0
59,131,0.45,0.53,0,0.02,0,0,0,0,Topic_2
60,39,0.58,0.35,0.02,0,0.06,0,0,0,Topic_0
61,89,0.99,0,0,0,0,0,0.01,0,Topic_0
62,106,0.15,0.05,0,0.66,0,0,0.14,0,Topic_5
63,13,0.28,0.21,0,0,0.33,0,0.18,0,Topic_7
64,75,0.03,0.97,0,0,0,0,0,0,Topic_2
65,108,0.46,0,0.35,0,0.2,0,0,0,Topic_0
66,54,0,0,0.27,0,0.05,0,0.68,0,Topic_11
67,113,0.29,0.24,0.09,0,0.14,0,0.24,0,Topic_0
68,107,1,0,0,0,0,0,0,0,Topic_0
69,85,0,0.26,0,0.21,0,0,0,0.53,Topic_12
70,55,0.89,0,0,0,0,0,0.11,0,Topic_0
71,78,0.37,0.54,0,0,0,0,0.09,0,Topic_2
72,139,0.86,0,0.14,0,0,0,0,0,Topic_0
73,120,1,0,0,0,0,0,0,0,Topic_0
74,135,0.18,0,0.81,0,0,0,0,0,Topic_4
75,82,0.73,0.07,0,0,0,0,0.2,0,Topic_0
76,29,0.75,0,0,0.12,0,0,0,0.13,Topic_0
77,136,0,0.23,0.77,0,0,0,0,0,Topic_4
78,10,0,0.93,0,0.04,0.01,0,0,0.01,Topic_2
79,149,0,0,0,0,0.39,0.61,0,0,Topic_9
80,130,0.5,0.34,0,0,0.02,0,0.13,0,Topic_0
81,205,0,0.22,0,0,0.76,0,0.02,0,Topic_7
82,66,0,0.6,0,0.06,0.31,0,0.04,0,Topic_2
83,84,0.37,0.38,0,0,0,0,0.25,0,Topic_2
84,134,0.24,0.6,0,0,0.16,0,0,0,Topic_2
85,174,0.43,0.57,0,0,0,0,0,0,Topic_2
86,30,0.13,0.07,0,0,0,0,0.57,0,Topic_11
87,156,0.54,0.41,0,0,0.05,0,0,0,Topic_0
88,138,0.84,0,0,0,0,0,0.16,0,Topic_0
89,59,0,0.8,0,0.17,0,0,0,0.03,Topic_2
90,83,0,0.63,0,0.19,0.11,0,0,0.06,Topic_2
91,188,1,0,0,0,0,0,0,0,Topic_0
92,24,0,0,0,0,0,0,1,0,Topic_11
93,162,0,0,0,0,1,0,0,0,Topic_7
94,166,0,0.99,0,0,0,0,0.01,0,Topic_2
95,27,0.35,0,0,0,0,0,0,0.65,Topic_12
96,161,0.39,0.46,0,0,0.05,0,0.09,0,Topic_2
97,23,0.38,0,0.45,0,0.15,0,0,0,Topic_4
98,79,0.72,0,0,0,0,0,0.28,0,Topic_0
99,122,0,1,0,0,0,0,0,0,Topic_2
100,195,0.99,0,0,0,0,0,0,0,Topic_0
101,92,0.96,0,0,0,0,0,0,0,Topic_0